
 Real: 1, Prediccion: 1, Distancia Euclidiana: 56.5633360782, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 33.5163996111, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 53.5522761944, Algoritmo: LBPH
 Real: 2, Prediccion: 15, Distancia Euclidiana: 50.0343281249, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 30.1831152652, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 41.082959982, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 53.5370935533, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 48.226980235, Algoritmo: LBPH
 Real: 3, Prediccion: 14, Distancia Euclidiana: 66.0386213069, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 36.2947805164, Algoritmo: LBPH
 Real: 4, Prediccion: 6, Distancia Euclidiana: 59.1639915821, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 22.5886602246, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 33.0794775362, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 27.5244812123, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 22.0389149075, Algoritmo: LBPH
 Real: 6, Prediccion: 15, Distancia Euclidiana: 49.5444656056, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 29.7533441364, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 41.9388672989, Algoritmo: LBPH
 Real: 7, Prediccion: 13, Distancia Euclidiana: 54.5836768934, Algoritmo: LBPH
 Real: 8, Prediccion: 6, Distancia Euclidiana: 51.9988429522, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 37.4370311927, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 51.2319333651, Algoritmo: LBPH
 Real: 9, Prediccion: 2, Distancia Euclidiana: 50.6111203009, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 30.9591824717, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 48.8246315137, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 35.8039475908, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 18.6892748672, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 30.9560552076, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 23.4850140445, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 23.4850140445, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 35.0536060217, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 31.679722549, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 34.3621852583, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 31.3103702819, Algoritmo: LBPH
 Real: 13, Prediccion: 2, Distancia Euclidiana: 48.0272180103, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 21.0265958959, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 24.8920048032, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 26.302215137, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 23.0218290022, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 23.5456844232, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 29.6617150884, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 19.5986668149, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 52.2516657628, Algoritmo: LBPH
 Prediccion media: 82.2222222222
 Distancia minima: 0.0 Distancia maxima: 66.0386213069 Distancia Media: 35.8546954859
