
 Real: 1, Prediccion: 1, Distancia Euclidiana: 6302.93484427, Algoritmo: EigenFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 7239.15407808, Algoritmo: EigenFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 3595.36824381, Algoritmo: EigenFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 2251.85352065, Algoritmo: EigenFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 3775.61380571, Algoritmo: EigenFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 2251.85352065, Algoritmo: EigenFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 3526.55961372, Algoritmo: EigenFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 7182.59106725, Algoritmo: EigenFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 2911.75117091, Algoritmo: EigenFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 8409.3275172, Algoritmo: EigenFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 6164.24792951, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 3464.000269, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 6418.57554708, Algoritmo: EigenFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 1923.92087319, Algoritmo: EigenFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 3265.39815642, Algoritmo: EigenFace
 Real: 7, Prediccion: 6, Distancia Euclidiana: 8117.07408359, Algoritmo: EigenFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 2484.90201765, Algoritmo: EigenFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 7056.3159882, Algoritmo: EigenFace
 Real: 8, Prediccion: 2, Distancia Euclidiana: 9469.53352459, Algoritmo: EigenFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 6983.61673651, Algoritmo: EigenFace
 Real: 9, Prediccion: 1, Distancia Euclidiana: 8621.20972198, Algoritmo: EigenFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 7985.20420344, Algoritmo: EigenFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 2590.44279347, Algoritmo: EigenFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 6768.70667206, Algoritmo: EigenFace
 Real: 10, Prediccion: 13, Distancia Euclidiana: 8668.03727057, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 6553.98532873, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 6217.46559968, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 5306.62443091, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 9505.79824554, Algoritmo: EigenFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 3165.95621837, Algoritmo: EigenFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 4633.99895277, Algoritmo: EigenFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 3526.61173822, Algoritmo: EigenFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 7169.78165553, Algoritmo: EigenFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 2050.1983088, Algoritmo: EigenFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 2584.68954383, Algoritmo: EigenFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 5175.73537371, Algoritmo: EigenFace
 Real: 15, Prediccion: 3, Distancia Euclidiana: 5488.45372379, Algoritmo: EigenFace
 Prediccion media: 88.8888888889
 Distancia minima: 0.0 Distancia maxima: 9505.79824554 Distancia Media: 4417.9442731
