
 Real: 1, Prediccion: 1, Distancia Euclidiana: 33.9606349537, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 27.429928667, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 33.5163996111, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 30.1831152652, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 41.082959982, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 27.4454673327, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 48.226980235, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 53.8452847911, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 22.5886602246, Algoritmo: LBPH
 Real: 4, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 21.9502459028, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 33.0794775362, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 21.6447181343, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 22.0389149075, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 32.1450348328, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 16.7237829045, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 33.3030089025, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 44.9459736653, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 51.1234346851, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 37.4370311927, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 30.9591824717, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 32.1427476057, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 36.208698535, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 26.5712347338, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 18.6892748672, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 31.7282872471, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 23.4850140445, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 35.0536060217, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 33.3957246449, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 33.3957246449, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 31.3103702819, Algoritmo: LBPH
 Real: 13, Prediccion: 2, Distancia Euclidiana: 48.0272180103, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 31.4661105766, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 24.8920048032, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 23.0218290022, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 14, Prediccion: 15, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 32.6770270558, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 33.3537336513, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 46.5902914117, Algoritmo: LBPH
 Prediccion media: 93.3333333333
 Distancia minima: 0.0 Distancia maxima: 53.8452847911 Distancia Media: 26.7919807408
