
 Real: 1, Prediccion: 1, Distancia Euclidiana: 5515.60187954, Algoritmo: EigenFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 3682.59826869, Algoritmo: EigenFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 5515.77094882, Algoritmo: EigenFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 3893.63293838, Algoritmo: EigenFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 7778.86691253, Algoritmo: EigenFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 4662.43265575, Algoritmo: EigenFace
 Real: 3, Prediccion: 15, Distancia Euclidiana: 5836.030409, Algoritmo: EigenFace
 Real: 3, Prediccion: 13, Distancia Euclidiana: 9079.88303036, Algoritmo: EigenFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 4612.8455165, Algoritmo: EigenFace
 Real: 4, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 2749.62497896, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 3451.78149631, Algoritmo: EigenFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 3237.58880465, Algoritmo: EigenFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 2648.02546251, Algoritmo: EigenFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 4143.79166741, Algoritmo: EigenFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 2605.04648804, Algoritmo: EigenFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 5068.30138961, Algoritmo: EigenFace
 Real: 7, Prediccion: 15, Distancia Euclidiana: 8162.93653787, Algoritmo: EigenFace
 Real: 8, Prediccion: 2, Distancia Euclidiana: 9439.30955727, Algoritmo: EigenFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 6517.40600884, Algoritmo: EigenFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 7903.44614731, Algoritmo: EigenFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 5679.10081262, Algoritmo: EigenFace
 Real: 10, Prediccion: 15, Distancia Euclidiana: 5414.56023298, Algoritmo: EigenFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 4753.38205677, Algoritmo: EigenFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 2616.72180118, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 3999.44423364, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 3570.17266592, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 5572.76214149, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 4332.90632161, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 4332.90632161, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 6963.62016358, Algoritmo: EigenFace
 Real: 13, Prediccion: 15, Distancia Euclidiana: 6590.3280981, Algoritmo: EigenFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 4376.8514169, Algoritmo: EigenFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 3550.04067518, Algoritmo: EigenFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 2801.23148482, Algoritmo: EigenFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 14, Prediccion: 15, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 5473.68807552, Algoritmo: EigenFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 5973.44619323, Algoritmo: EigenFace
 Real: 15, Prediccion: 4, Distancia Euclidiana: 8233.60482903, Algoritmo: EigenFace
 Prediccion media: 80.0
 Distancia minima: 0.0 Distancia maxima: 9439.30955727 Distancia Media: 4238.65974717
