
 Real: 1, Prediccion: 1, Distancia Euclidiana: 2008.23398639, Algoritmo: FisherFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 1113.29385391, Algoritmo: FisherFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 2481.30872107, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 1131.41611335, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 2742.85579707, Algoritmo: FisherFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 1950.14998375, Algoritmo: FisherFace
 Real: 3, Prediccion: 9, Distancia Euclidiana: 2869.41306741, Algoritmo: FisherFace
 Real: 3, Prediccion: 11, Distancia Euclidiana: 1874.8050398, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 1808.59149251, Algoritmo: FisherFace
 Real: 4, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 1803.75711507, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 1782.62565889, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 1049.51442038, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 1510.99800799, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 2910.2790533, Algoritmo: FisherFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 809.048754965, Algoritmo: FisherFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 1759.98513434, Algoritmo: FisherFace
 Real: 7, Prediccion: 9, Distancia Euclidiana: 3084.8787522, Algoritmo: FisherFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 2684.39123703, Algoritmo: FisherFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 8, Prediccion: 11, Distancia Euclidiana: 2193.73311755, Algoritmo: FisherFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 1937.23024119, Algoritmo: FisherFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 2878.26592148, Algoritmo: FisherFace
 Real: 10, Prediccion: 13, Distancia Euclidiana: 2810.75946466, Algoritmo: FisherFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 1580.70970532, Algoritmo: FisherFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 1024.82609435, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 1555.92993704, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 1112.76296545, Algoritmo: FisherFace
 Real: 11, Prediccion: 14, Distancia Euclidiana: 2487.84026377, Algoritmo: FisherFace
 Real: 12, Prediccion: 1, Distancia Euclidiana: 2084.77920679, Algoritmo: FisherFace
 Real: 12, Prediccion: 1, Distancia Euclidiana: 2084.77920679, Algoritmo: FisherFace
 Real: 12, Prediccion: 11, Distancia Euclidiana: 1900.21233223, Algoritmo: FisherFace
 Real: 13, Prediccion: 9, Distancia Euclidiana: 2669.8230612, Algoritmo: FisherFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 1909.17976472, Algoritmo: FisherFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 1543.42007412, Algoritmo: FisherFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 1661.41704339, Algoritmo: FisherFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 14, Prediccion: 15, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 2174.3779244, Algoritmo: FisherFace
 Real: 15, Prediccion: 13, Distancia Euclidiana: 2160.84733539, Algoritmo: FisherFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 2679.17097124, Algoritmo: FisherFace
 Prediccion media: 71.1111111111
 Distancia minima: 0.0 Distancia maxima: 3084.8787522 Distancia Media: 1640.56912934
