
 Real: 1, Prediccion: 7, Distancia Euclidiana: 61.7619357335, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 36.377600081, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 31.6292369039, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 29.5668770912, Algoritmo: LBPH
 Real: 2, Prediccion: 9, Distancia Euclidiana: 50.6111203009, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 42.4220696245, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 33.6686283657, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 48.226980235, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 28.5354235335, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 22.5886602246, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 22.5886602246, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 21.9502459028, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 21.9502459028, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 33.0794775362, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 22.0389149075, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 44.9459736653, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 31.3049650823, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 40.0703826579, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 51.1234346851, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 32.1427476057, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 24.4217675093, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 19.0884804327, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 35.7845156501, Algoritmo: LBPH
 Real: 10, Prediccion: 11, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 55.5788917609, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 23.4850140445, Algoritmo: LBPH
 Real: 11, Prediccion: 12, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 40.6663089144, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 33.3957246449, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 24.1083003652, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 24.0845354501, Algoritmo: LBPH
 Real: 13, Prediccion: 2, Distancia Euclidiana: 48.0272180103, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 53.2058257757, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 21.889027351, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 32.2467579, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 19.5986668149, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 46.5902914117, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 46.5902914117, Algoritmo: LBPH
 Prediccion media: 88.8888888889
 Distancia minima: 0.0 Distancia maxima: 61.7619357335 Distancia Media: 27.8965599491
