
 Real: 1, Prediccion: 3, Distancia Euclidiana: 3155.7911897, Algoritmo: FisherFace
 Real: 1, Prediccion: 5, Distancia Euclidiana: 2561.95591459, Algoritmo: FisherFace
 Real: 1, Prediccion: 12, Distancia Euclidiana: 3413.78268324, Algoritmo: FisherFace
 Real: 2, Prediccion: 6, Distancia Euclidiana: 4269.53708119, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 2116.55960614, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 2364.04484111, Algoritmo: FisherFace
 Real: 3, Prediccion: 13, Distancia Euclidiana: 2865.51379225, Algoritmo: FisherFace
 Real: 3, Prediccion: 14, Distancia Euclidiana: 4816.27070122, Algoritmo: FisherFace
 Real: 3, Prediccion: 1, Distancia Euclidiana: 3176.05574762, Algoritmo: FisherFace
 Real: 4, Prediccion: 14, Distancia Euclidiana: 3881.07470999, Algoritmo: FisherFace
 Real: 4, Prediccion: 14, Distancia Euclidiana: 3858.62508912, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 1992.95163347, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 2170.5178837, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 1939.35724643, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 1441.75339421, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 4186.67327332, Algoritmo: FisherFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 2110.65357415, Algoritmo: FisherFace
 Real: 7, Prediccion: 3, Distancia Euclidiana: 3700.96052952, Algoritmo: FisherFace
 Real: 7, Prediccion: 3, Distancia Euclidiana: 5288.57024054, Algoritmo: FisherFace
 Real: 8, Prediccion: 1, Distancia Euclidiana: 3625.97350781, Algoritmo: FisherFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 2393.5864849, Algoritmo: FisherFace
 Real: 8, Prediccion: 15, Distancia Euclidiana: 3396.28676072, Algoritmo: FisherFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 3606.94837192, Algoritmo: FisherFace
 Real: 9, Prediccion: 8, Distancia Euclidiana: 3174.82023569, Algoritmo: FisherFace
 Real: 9, Prediccion: 12, Distancia Euclidiana: 4196.44488919, Algoritmo: FisherFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 2791.73524605, Algoritmo: FisherFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 2613.22633926, Algoritmo: FisherFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 2258.93407778, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 2043.91406496, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 2043.91406496, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 2992.79676522, Algoritmo: FisherFace
 Real: 12, Prediccion: 13, Distancia Euclidiana: 4037.73746071, Algoritmo: FisherFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 3053.61467679, Algoritmo: FisherFace
 Real: 12, Prediccion: 3, Distancia Euclidiana: 2494.06099993, Algoritmo: FisherFace
 Real: 13, Prediccion: 3, Distancia Euclidiana: 2592.50847287, Algoritmo: FisherFace
 Real: 13, Prediccion: 1, Distancia Euclidiana: 2075.75975206, Algoritmo: FisherFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 1758.96967452, Algoritmo: FisherFace
 Real: 14, Prediccion: 11, Distancia Euclidiana: 2045.69422747, Algoritmo: FisherFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 1252.63204382, Algoritmo: FisherFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 1214.2929936, Algoritmo: FisherFace
 Real: 15, Prediccion: 1, Distancia Euclidiana: 2880.61801681, Algoritmo: FisherFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 1422.1333484, Algoritmo: FisherFace
 Real: 15, Prediccion: 3, Distancia Euclidiana: 2393.64390903, Algoritmo: FisherFace
 Prediccion media: 51.1111111111
 Distancia minima: 0.0 Distancia maxima: 5288.57024054 Distancia Media: 2703.79767813
