
 Real: 1, Prediccion: 1, Distancia Euclidiana: 1958.8346299, Algoritmo: FisherFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 2382.65609632, Algoritmo: FisherFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 2393.58682018, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 1386.15920072, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 3559.66960079, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 1386.15920072, Algoritmo: FisherFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 1473.54041143, Algoritmo: FisherFace
 Real: 3, Prediccion: 5, Distancia Euclidiana: 3188.24732479, Algoritmo: FisherFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 1321.23697253, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 3504.93228513, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 2222.29545262, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 917.785569081, Algoritmo: FisherFace
 Real: 5, Prediccion: 14, Distancia Euclidiana: 2798.98537803, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 874.43126244, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 1187.86877794, Algoritmo: FisherFace
 Real: 7, Prediccion: 4, Distancia Euclidiana: 3930.41304238, Algoritmo: FisherFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 3596.09063421, Algoritmo: FisherFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 2012.68128571, Algoritmo: FisherFace
 Real: 8, Prediccion: 6, Distancia Euclidiana: 4945.15713555, Algoritmo: FisherFace
 Real: 8, Prediccion: 5, Distancia Euclidiana: 2567.43392848, Algoritmo: FisherFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 3898.73729723, Algoritmo: FisherFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 2157.86400841, Algoritmo: FisherFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 1749.80206797, Algoritmo: FisherFace
 Real: 10, Prediccion: 5, Distancia Euclidiana: 3415.54342787, Algoritmo: FisherFace
 Real: 10, Prediccion: 8, Distancia Euclidiana: 3356.20129818, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 3188.70535175, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 1634.66565384, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 2866.27286686, Algoritmo: FisherFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 2877.17011478, Algoritmo: FisherFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 2540.41353046, Algoritmo: FisherFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 2388.77060458, Algoritmo: FisherFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 1934.82123669, Algoritmo: FisherFace
 Real: 14, Prediccion: 5, Distancia Euclidiana: 2698.47812536, Algoritmo: FisherFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 1186.46308958, Algoritmo: FisherFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 2793.93222966, Algoritmo: FisherFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 2333.7319383, Algoritmo: FisherFace
 Real: 15, Prediccion: 3, Distancia Euclidiana: 2072.17719063, Algoritmo: FisherFace
 Prediccion media: 80.0
 Distancia minima: 0.0 Distancia maxima: 4945.15713555 Distancia Media: 2015.59811202
